reference_code,pmid,doi
56CAR/COH,13366975,10.1016/S0021-9258(19)50767-0
56DIC/WIL,13373810,10.1042/bj0640567
56COW/PIZ,13385236,10.1016/S0021-9258(18)65087-2
56HUR/HOR,13385247,10.1016/S0021-9258(18)65098-7
57ROB/BOY,13398392,10.1016/S0021-9258(18)65015-X
57HOL/TOU,13416220,10.1016/S0021-9258(18)64912-9
57ROB/COO,13416257,10.1016/S0021-9258(18)64948-8
57HOH,13426146,
57ASH/HIC,13428737,10.1016/S0021-9258(18)64805-7
57KAR/GRE,13449064,10.1016/S0021-9258(18)70806-5
57FLA/ERW,13475309,10.1016/S0021-9258(18)70703-5
57ROD/TOW,13475367,10.1016/S0021-9258(18)70667-4
57CAL,13488919,10.1042/bj0670651
57MAX,13491567,10.1016/S0021-9258(18)70602-9
57SMI/GUN,13491582,10.1016/S0021-9258(18)70617-0
57VLA/VLA,13499474,
57GRE/LIP,13502367,10.1016/S0021-9258(19)63710-5
57HOL/HOL,13522707,
58TAB/SRE,13534662,10.1016/0003-9861(58)90003-1
58YOU/PAC,13534693,10.1016/0003-9861(58)90403-x
58CAB/LEL,13538966,10.1016/S0021-9258(19)77303-7
58HEA/HOR,13539034,10.1016/S0021-9258(18)70464-X
58BUR/HOR,13539036,10.1016/S0021-9258(18)70466-3
58WOL/SIM,13549442,10.1016/S0021-9258(18)70419-5
58TUR/TUR,13560389,10.1042/bj0690448
58LAN/ENG,13575417,10.1016/S0021-9258(18)64708-8
58ROB/LIP,13575437,10.1016/S0021-9258(18)64728-3
58WIL/BAN,13587526,10.1016/S0021-9258(18)64689-7
58BRU/NOL,13596391,
58NOL/BRU,13596394,
58FRO2,13598730,10.1016/S0021-9258(19)77337-2
58MAL/OCH,13610869,10.1016/S0021-9258(18)49368-4
59SAN/LAN,13610916,10.1016/S0021-9258(18)70359-1
59KIT/HEM,13628583,10.1042/bj0710395
59BEN/KIT,13628584,10.1042/bj0710400
59KRI,13630884,10.1016/S0021-9258(18)70278-0
59ITO/GRI,13630886,10.1016/S0021-9258(18)70280-9
59BAR/SMY,13630903,10.1016/S0021-9258(18)70297-4
59VAG/EAR,13641247,10.1016/S0021-9258(18)70232-9
59HAB/CAN,13641268,10.1016/S0021-9258(18)70253-6
59SCO/JAK,13654294,10.1016/S0021-9258(18)70206-8
59SHO/PRI,13664648,10.1128/jb.77.6.695-700.1959
59DEN/ROB,13672942,10.1016/S0021-9258(18)69904-1
59MIL/LUK,13672968,10.1016/S0021-9258(18)69930-2
59STR/SMI,13672971,10.1016/S0021-9258(18)69933-8
59TAB/WYN,13672973,10.1016/S0021-9258(18)69935-1
59MCQ/UTT,13673030,10.1016/S0021-9258(18)69883-7
60AGO/ARA,13681649,
61ALE,13682344,10.1128/jb.81.6.903-910.1961
61ATK/BUR,13684980,10.1042/bj0780813
61ATK/JOH,13684982,10.1042/bj0790012
61DAT/RAC,13719876,10.1016/S0021-9258(18)64277-2
60OCO/HAL,13730045,10.1016/0003-9861(60)90503-8
61SAN/ZIN,13746411,10.1016/0003-9861(61)90070-4
60SCH/RAT,13748745,10.1016/S0021-9258(18)64515-6
61KOR/GLA,13753209,10.1016/S0021-9258(19)63304-1
61KRA/VEN,13753903,10.1016/S0021-9258(18)64442-4
60MEN,13769376,10.1016/S0021-9258(18)64469-2
61VEN/RAC,13780711,10.1016/S0021-9258(18)64098-0
61VLA/KOM,13781723,
61WIL/WIL,13785328,10.1016/0003-9861(61)90318-6
61WOO/STJ,13786500,10.1073/pnas.47.3.289 
60ASH/WAH,13794771,10.1016/S0021-9258(19)76840-9
60BLA,13801272,10.1042/bj0740071
59CAL/WEB,13806976,10.1042/bj0730473
60COM/ROS,13811398,10.1016/S0021-9258(19)76908-7
60FEI/NEU,13821949,10.1016/S0021-9258(18)69449-9
59FRI,13825045,10.1016/S0021-9258(18)69689-9
60GUP/ROB,13830319,10.1016/S0021-9258(19)76849-5
62BRU/JOU,13874013,10.1016/S0021-9258(19)73772-7
62CHA/VEI,13877918,10.1016/S0021-9258(18)60275-3
61GAW/GLA,13897360,10.1016/0003-9861(61)90136-9
62GHA/HEA,13898172,10.1016/S0021-9258(19)73768-5
61GOT/KOR,13900766,10.1042/bj0810273
62HAL/FEN,13903809,10.1016/S0021-9258(19)63410-1
62HIM/RAB,13907490,10.1016/S0021-9258(18)60249-2
62SHU/DOU,13912428,10.1016/S0021-9258(18)93969-4
63MAP/ISH,13932735,10.1042/bj0860173
63MON/WHI,13936004,10.1016/S0021-9258(18)81333-3
63HUE,13955484,10.1021/bi00901a027
63FRI/SCH,13963148,10.1016/S0021-9258(19)68001-4
63BEC/LEV,13970089,10.1016/S0021-9258(18)81322-9
63QUA,13972708,10.1042/bj0870368
62WIL/SNE,14001018,10.1016/S0021-9258(18)50139-3
61YAM,14008731,10.1016/S0021-9258(19)76425-4
63ALL/KEL,14012144,10.1016/S0021-9258(18)81114-0
63SLY/STA,14063285,10.1016/S0021-9258(18)67879-2
63HAR/COL,14063286,10.1016/S0021-9258(18)67880-9
63HIN/WOL,14075112,10.1021/bi00904a025
63MAT/HUE,14085400,10.1016/S0021-9258(18)48686-3
63SCO/DUN,14086726,10.1016/S0021-9258(18)51808-1
63BER/HOL,14087284,
63MEI/BUK,14087295,
63JEN/CAP,14093907,10.1021/bi00906a024
63DOM/ZEC,14095156,
64BOJ/GAU,14102876,10.1128/jb.87.1.75-80.1964
63EDM/WRI,14109183,10.1016/S0021-9258(19)75304-6
63EHR/MAR,14109209,10.1016/S0021-9258(19)75330-7
64LOW/PAS,14114860,10.1016/S0021-9258(18)51741-5
64ASP/JAK,14154441,10.1016/S0021-9258(18)51644-6
64HEN/CLE,14155095,10.1021/bi00891a007
64ADA/NOR,14189888,10.1016/S0021-9258(18)91347-5
64MAI/DEK,14193832,10.1016/S0021-9258(18)91340-2
64WIL/HOG,14235524,10.1016/S0021-9258(18)93876-7
64KEL/ALL,14235536,10.1016/S0021-9258(18)93888-3
64PRE/WOO,14245350,10.1016/S0021-9258(18)97692-1
64BAR/ROO,14245371,10.1016/S0021-9258(18)97713-6
64MOO/REI,14245401,10.1016/S0021-9258(18)97743-4
64MEL/WOO,14245410,10.1016/S0021-9258(18)97752-5
64MCN/DAM,14247682,10.1016/S0021-9258(18)91169-5
65BES/HER,14253449,10.1016/S0021-9258(18)97668-4
65KAZ/GRO,14256957,10.1016/S0021-9258(18)97615-5
64AVI,14257584,10.1016/S0021-9258(18)91180-4
65KAT/BUC,14275142,10.1016/S0021-9258(17)45250-1
65YOS,14284712,10.1016/S0021-9258(18)97547-2
65STR,14284729,10.1016/S0021-9258(18)97564-2
65EIC/CYN,14285233,10.1021/bi00877a024
65GHO/ROS,14285487,10.1016/S0021-9258(18)97467-3
65GHO/ROS2,14285488,10.1016/S0021-9258(18)97468-5
65UYE/RAB,14285511,10.1016/S0021-9258(18)97492-2
65MAY/GIN,14299608,10.1016/S0021-9258(18)97402-8
65SHA/CLE,14299613,10.1016/S0021-9258(18)97409-0
65AND/ALL,14304839,10.1016/S0021-9258(18)97332-1
65CAN/FOC,14321360,10.1016/S0021-9258(18)97211-X
65BUL/HAN,14321365,10.1016/S0021-9258(18)97216-9
65BAH/CAT,14321375,10.1016/S0021-9258(18)97227-3
65DAW/DIC,14346088,10.1042/bj0940353
65TAT/DAT,14348207,10.1042/bj0940470
